Date,Confirmed,Deaths,Recovered,Excluded,TTH,OR,FM,RSK,BK,CS,MS,DT,SM,GO,LS,DO
2020-03-02,1,0,0,28,0,0,0,0,0,1,0,0,0,0,0,0
2020-03-03,1,0,0,32,0,0,0,0,0,1,0,0,0,0,0,0
2020-03-04,1,0,0,34,0,0,0,0,0,1,0,0,0,0,0,0
2020-03-05,2,0,0,40,0,0,0,0,0,2,0,0,0,0,0,0
2020-03-06,2,0,0,50,0,0,0,0,0,2,0,0,0,0,0,0
2020-03-07,2,0,0,55,0,0,0,0,0,2,0,0,0,0,0,0
2020-03-08,2,0,0,60,0,0,0,0,0,2,0,0,0,0,0,0
2020-03-09,3,0,0,60,0,0,0,0,0,2,0,0,0,0,0,0
2020-03-10,3,1,0,63,0,0,0,0,0,2,1,0,0,0,0,0
2020-03-11,6,1,0,78,0,0,1,0,0,2,2,0,0,0,0,0
2020-03-12,6,1,0,91,0,0,1,0,0,2,2,0,0,0,0,0
2020-03-13,8,1,1,106,0,0,1,0,0,3,2,0,1,0,0,0
2020-03-14,18,1,1,112,,,,,,,,0,,0,0,0
2020-03-15,28,1,1,122,,,,,,,,0,,0,0,0
2020-03-16,37,2,1,152,,,,,,,,0,,0,0,0
2020-03-17,44,2,1,183,,,,,,,,0,,0,0,0
2020-03-18,54,2,1,263,4,1,12,14,2,12,5,0,4,1,0,0
2020-03-19,63,2,2,307,4,1,12,15,2,14,6,0,6,1,0,0
2020-03-20,79,3,2,374,4,1,13,16,2,16,7,0,6,1,0,0
2020-03-21,96,3,2,385,7,4,21,22,2,22,10,1,6,1,0,0
2020-03-22,115,4,3,498,7,5,24,29,3,26,13,1,6,1,0,0
2020-03-23,143,4,5,643,9,7,35,32,3,34,15,1,6,1,0,0
2020-03-24,170,5,6,685,11,7,36,40,4,42,22,1,6,1,0,0
2020-03-25,225,6,7,740,15,7,50,45,6,59,32,2,8,1,0,0
2020-03-26,275,10,8,931,16,7,51,50,7,87,43,3,10,1,0,0
2020-03-27,345,23,11,1423,23,12,63,56,10,107,57,5,11,1,0,0
2020-03-28,402,25,12,1574,29,14,72,72,10,117,70,6,11,1,0,0
